Date,days_in_mon
1/15/1998,31
2/15/1998,28
3/15/1998,31
4/15/1998,30
5/15/1998,31
6/15/1998,30
7/15/1998,31
8/15/1998,31
9/15/1998,30
10/15/1998,31
11/15/1998,30
12/15/1998,31
1/15/1999,31
2/15/1999,28
3/15/1999,31
4/15/1999,30
5/15/1999,31
6/15/1999,30
7/15/1999,31
8/15/1999,31
9/15/1999,30
10/15/1999,31
11/15/1999,30
12/15/1999,31
1/15/2000,31
2/15/2000,29
3/15/2000,31
4/15/2000,30
5/15/2000,31
6/15/2000,30
7/15/2000,31
8/15/2000,31
9/15/2000,30
10/15/2000,31
11/15/2000,30
12/15/2000,31
1/15/2001,31
2/15/2001,28
3/15/2001,31
4/15/2001,30
5/15/2001,31
6/15/2001,30
7/15/2001,31
8/15/2001,31
9/15/2001,30
10/15/2001,31
11/15/2001,30
12/15/2001,31
1/15/2002,31
2/15/2002,28
3/15/2002,31
4/15/2002,30
5/15/2002,31
6/15/2002,30
7/15/2002,31
8/15/2002,31
9/15/2002,30
10/15/2002,31
11/15/2002,30
12/15/2002,31
1/15/2003,31
2/15/2003,28
3/15/2003,31
4/15/2003,30
5/15/2003,31
6/15/2003,30
7/15/2003,31
8/15/2003,31
9/15/2003,30
10/15/2003,31
11/15/2003,30
12/15/2003,31
1/15/2004,31
2/15/2004,29
3/15/2004,31
4/15/2004,30
5/15/2004,31
6/15/2004,30
7/15/2004,31
8/15/2004,31
9/15/2004,30
10/15/2004,31
11/15/2004,30
12/15/2004,31
1/15/2005,31
2/15/2005,28
3/15/2005,31
4/15/2005,30
5/15/2005,31
6/15/2005,30
7/15/2005,31
8/15/2005,31
9/15/2005,30
10/15/2005,31
11/15/2005,30
12/15/2005,31
1/15/2006,31
2/15/2006,28
3/15/2006,31
4/15/2006,30
5/15/2006,31
6/15/2006,30
7/15/2006,31
8/15/2006,31
9/15/2006,30
10/15/2006,31
11/15/2006,30
12/15/2006,31
1/15/2007,31
2/15/2007,28
3/15/2007,31
4/15/2007,30
5/15/2007,31
6/15/2007,30
7/15/2007,31
8/15/2007,31
9/15/2007,30
10/15/2007,31
11/15/2007,30
12/15/2007,31
1/15/2008,31
2/15/2008,29
3/15/2008,31
4/15/2008,30
5/15/2008,31
6/15/2008,30
7/15/2008,31
8/15/2008,31
9/15/2008,30
10/15/2008,31
11/15/2008,30
12/15/2008,31
1/15/2009,31
2/15/2009,28
3/15/2009,31
4/15/2009,30
5/15/2009,31
6/15/2009,30
7/15/2009,31
8/15/2009,31
9/15/2009,30
10/15/2009,31
11/15/2009,30
12/15/2009,31
1/15/2010,31
2/15/2010,28
3/15/2010,31
4/15/2010,30
5/15/2010,31
6/15/2010,30
7/15/2010,31
8/15/2010,31
9/15/2010,30
10/15/2010,31
11/15/2010,30
12/15/2010,31
1/15/2011,31
2/15/2011,28
3/15/2011,31
4/15/2011,30
5/15/2011,31
6/15/2011,30
7/15/2011,31
8/15/2011,31
9/15/2011,30
10/15/2011,31
11/15/2011,30
12/15/2011,31
1/15/2012,31
2/15/2012,29
3/15/2012,31
4/15/2012,30
5/15/2012,31
6/15/2012,30
7/15/2012,31
8/15/2012,31
9/15/2012,30
10/15/2012,31
11/15/2012,30
12/15/2012,31
1/15/2013,31
2/15/2013,28
3/15/2013,31
4/15/2013,30
5/15/2013,31
6/15/2013,30
7/15/2013,31
8/15/2013,31
9/15/2013,30
10/15/2013,31
11/15/2013,30
12/15/2013,31
1/15/2014,31
2/15/2014,28
3/15/2014,31
4/15/2014,30
5/15/2014,31
6/15/2014,30
7/15/2014,31
8/15/2014,31
9/15/2014,30
10/15/2014,31
11/15/2014,30
12/15/2014,31
1/15/2015,31
2/15/2015,28
3/15/2015,31
4/15/2015,30
5/15/2015,31
6/15/2015,30
7/15/2015,31
8/15/2015,31
9/15/2015,30
10/15/2015,31
11/15/2015,30
12/15/2015,31
1/15/2016,31
2/15/2016,29
3/15/2016,31
4/15/2016,30
5/15/2016,31
6/15/2016,30
7/15/2016,31
8/15/2016,31
9/15/2016,30
10/15/2016,31
11/15/2016,30
12/15/2016,31
1/15/2017,31
2/15/2017,28
3/15/2017,31
4/15/2017,30
5/15/2017,31
6/15/2017,30
7/15/2017,31
8/15/2017,31
9/15/2017,30
10/15/2017,31
11/15/2017,30
12/15/2017,31
1/15/2018,31
2/15/2018,28
3/15/2018,31
4/15/2018,30
5/15/2018,31
6/15/2018,30
7/15/2018,31
8/15/2018,31
9/15/2018,30
10/15/2018,31
11/15/2018,30
12/15/2018,31
