headwatershed,area_sqm
1,5370709633
2,1016001357
3,312403178.3
4,189595305.7
5,52311539.65
6,2692222881
7,341677320.1
8,3949622198
9,2354170288
10,1015747153
11,1476792707
12,210470185.7
13,1391071654
14,100506085.8
15,19334681007
16,414450216.9
17,2394921421
18,892702863.6
19,70355195.43
20,3995883940
21,319447656.9
22,239738390.2
23,50448729.79
24,344615269.8
25,532507127.5
26,544441822.8
27,1928404296
28,199479068
29,399313573.4
30,9425293401
31,2873724329
32,729591807.7
33,4814014760
34,2773836133
35,118483161.4
36,1528772997
37,1450324900
38,1450324900
39,50330072.65
40,4236352117
41,709987972.1
42,608412016.8
43,688146078.5
44,61005589.77
45,1392476924
46,508486194.3
