"","value","count"
"1",1,24257
"2",2,3631
"3",4,6363
"4",12,31
"5",21,4507
"6",22,953
"7",24,44106
"8",27,4
"9",28,3642
"10",33,154
"11",36,71539
"12",37,2657
"13",43,3
"14",44,1
"15",48,1
"16",49,71
"17",53,362
"18",54,1207
"19",61,87983
"20",66,10232
"21",67,10024
"22",69,311201
"23",71,13711
"24",72,7796
"25",74,560
"26",75,220455
"27",76,122393
"28",77,33
"29",111,7706
"30",121,84432
"31",122,33563
"32",123,48348
"33",124,8960
"34",131,1627
"35",141,16
"36",142,545
"37",152,4338
"38",176,180394
"39",190,2593
"40",195,114
"41",204,9310
"42",205,4462
"43",206,1
"44",208,65
"45",209,1
"46",211,7400
"47",212,277940
"48",213,1
"49",214,11
"50",216,5
"51",217,15186
"52",218,2772
"53",219,17
"54",220,14601
"55",225,19194
"56",226,101
"57",227,2
"58",236,2388
"59",237,1
"60",242,4
"61",NA,1168043
